my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
4,5,False
5,5,False
6,5,False
6,6,False
6,7,False
7,7,False
8,7,False
9,7,False
9,8,False
9,9,False
9,10,False
10,10,False
10,11,False
10,12,False
11,12,False
11,13,False
11,14,False
12,14,False
13,14,False
14,14,False
15,14,False
15,15,False
16,15,False
16,16,False
17,16,False
17,17,False
18,17,False
18,18,False
18,19,False
19,19,False
19,20,False
19,21,False
19,22,False
20,22,False
20,23,False
21,23,False
22,23,False
23,23,False
23,24,False
23,25,False
